"total_time","status","distance","air_time","month","day_of_week","day","scheduled_departure","late_night_departure","departure_delay","scheduled_arrival","arrival_delay","airline","destination_airport","state","latitude","longitude"
138,"on time",615,93,"7","Tue",28,1948,FALSE,20,2146,20,"OO","TUL","OK",36.19837,-95.88824
234,"delayed",1276,173,"11","Fri",13,1610,FALSE,42,1840,24,"WN","PHX","AZ",33.43417,-112.00806
244,"delayed",1276,168,"7","Mon",13,2153,FALSE,64,2302,55,"DL","PHX","AZ",33.43417,-112.00806
185,"delayed",852,122,"8","Mon",17,1850,FALSE,30,2107,48,"NK","DFW","TX",32.89595,-97.0372
165,"on time",989,129,"7","Tue",7,1955,FALSE,-5,2324,16,"F9","TTN","NJ",40.27669,-74.81347
188,"delayed",1050,131,"8","Sat",22,1010,FALSE,32,1344,34,"DL","BDL","CT",41.93887,-72.68323
231,"on time",1299,196,"4","Sun",5,1945,FALSE,3,2116,20,"DL","LAS","NV",36.08036,-115.15233
278,"delayed",1535,227,"4","Thur",2,630,FALSE,14,836,32,"OO","LAX","CA",33.94254,-118.40807
102,"delayed",232,41,"11","Sun",29,1728,FALSE,40,1846,24,"OO","DSM","IA",41.53493,-93.66068
303,"delayed",1299,175,"6","Sat",20,2155,FALSE,101,2305,113,"NK","LAS","NV",36.08036,-115.15233
320,"delayed",936,114,"7","Mon",13,1641,FALSE,189,2005,176,"NK","BWI","MD",39.1754,-76.6682
119,"delayed",334,68,"9","Thur",3,1737,FALSE,18,1910,26,"UA","ORD","IL",41.9796,-87.90446
311,"delayed",1175,166,"2","Sun",8,2139,FALSE,131,2302,108,"DL","GEG","WA",47.61986,-117.53384
174,"delayed",695,90,"11","Sat",28,1311,FALSE,17,1520,45,"OO","BNA","TN",36.12448,-86.67818
307,"delayed",1426,193,"1","Sat",24,1950,FALSE,87,2142,75,"DL","PDX","OR",45.58872,-122.5975
115,"delayed",334,60,"12","Tue",1,1430,FALSE,-2,1604,21,"AA","ORD","IL",41.9796,-87.90446
253,"on time",1589,222,"7","Sat",18,1430,FALSE,4,1627,16,"DL","SFO","CA",37.619,-122.37484
241,"delayed",980,133,"6","Tue",2,945,FALSE,76,1320,86,"F9","PHL","PA",39.87195,-75.24114
136,"delayed",626,84,"7","Sun",5,1318,FALSE,38,1603,31,"DL","CMH","OH",39.99799,-82.89188
101,"delayed",119,32,"11","Thur",26,1007,FALSE,-4,1105,43,"OO","LSE","WI",43.87938,-91.25654
202,"delayed",874,130,"7","Sun",5,2212,FALSE,52,2339,55,"DL","BZN","MT",45.7769,-111.15301
363,"delayed",1034,133,"4","Tue",21,1925,FALSE,211,2219,189,"EV","IAH","TX",29.98047,-95.33972
235,"delayed",1020,126,"12","Mon",14,1305,FALSE,80,1645,75,"DL","LGA","NY",40.77724,-73.87261
298,"delayed",1589,219,"9","Mon",21,1536,FALSE,63,1754,40,"OO","SFO","CA",37.619,-122.37484
209,"delayed",1306,162,"9","Sat",5,905,FALSE,7,1312,22,"DL","TPA","FL",27.97547,-82.53325
223,"on time",1299,179,"1","Sun",4,1416,FALSE,21,1542,17,"DL","LAS","NV",36.08036,-115.15233
163,"delayed",528,70,"12","Thur",17,1320,FALSE,67,1558,65,"DL","DTW","MI",42.21206,-83.34884
134,"on time",650,99,"6","Sun",28,1418,FALSE,-5,1712,20,"OO","LEX","KY",38.03697,-84.60539
431,"delayed",907,111,"7","Thur",23,1500,FALSE,294,1825,286,"DL","ATL","GA",33.64044,-84.42694
218,"delayed",1034,149,"12","Mon",14,1345,FALSE,46,1646,37,"UA","IAH","TX",29.98047,-95.33972
460,"delayed",1276,162,"6","Wed",24,2050,FALSE,272,2202,268,"US","PHX","AZ",33.43417,-112.00806
405,"delayed",2519,321,"6","Wed",24,2214,FALSE,65,101,58,"DL","ANC","AK",61.17432,-149.99619
219,"delayed",1276,171,"6","Thur",11,1419,FALSE,24,1528,30,"DL","PHX","AZ",33.43417,-112.00806
268,"on time",1535,239,"3","Sun",1,1931,FALSE,2,2140,19,"DL","LAX","CA",33.94254,-118.40807
142,"delayed",449,72,"12","Thur",31,1115,FALSE,2,1300,37,"OO","MOT","ND",48.25938,-101.28033
183,"delayed",726,86,"4","Fri",17,1516,FALSE,68,1818,61,"OO","PIT","PA",40.49147,-80.23287
271,"delayed",991,137,"7","Wed",1,705,FALSE,119,853,103,"DL","SLC","UT",40.78839,-111.97777
108,"delayed",334,54,"4","Mon",27,1130,FALSE,17,1256,22,"NK","ORD","IL",41.9796,-87.90446
